CC;European.list.coalition;alternative;national party;votes;comment;seats
CZ;none;no alternative;Demokratická strana zelených - ZA PRÁVA ZVÍŘAT;14339;;0
CZ;none;no alternative;Evropa společně;12587;;0
CZ;none;no alternative;Alternativa pro Českou republiku 2017;11729;;0
CZ;none;no alternative;Strana nezávislosti České republiky;9676;;0
CZ;none;no alternative;Strana soukromníků České republiky a Nezávislí;8720;;0
CZ;none;no alternative;Cesta odpovědné společnosti;7890;;0
CZ;none;no alternative;PRO Zdraví a Sport;7868;;0
CZ;none;no alternative;Moravané;6599;;0
CZ;none;no alternative;Volte Pravý Blok www.cibulka.net;4752;;0
CZ;none;no alternative;Dělnická strana sociální spravedlnosti a Národní fronta;4363;;0
CZ;none;no alternative;Sdružení pro republiku – Republikánská strana Československa Miroslava Sládka;4284;;0
CZ;none;no alternative;Agrární demokratická strana;4004;;0
CZ;Greens;EFA;Moravské zemské hnutí;3195;;0
CZ;none;no alternative;Pro Česko;2760;;0
CZ;none;no alternative;Česká Suverenita;2609;;0
CZ;none;no alternative;BEZPEČNOST, ODPOVĚDNOST, SOLIDARITA;2583;;0
CZ;none;no alternative;Klub angažovaných nestraníků;2580;;0
CZ;none;no alternative;NE-VOLIM.CZ;2221;;0
CZ;none;no alternative;Aliance národních sil;1971;;0
CZ;none;no alternative;Tvůj kandidát;1653;;0
CZ;none;no alternative;Romská demokratická strana;1651;;0
CZ;none;no alternative;Národní socialisté;1312;;0
CZ;none;no alternative;Česká strana národně sociální a Patrioti České republiky;1289;;0
CZ;none;no alternative;PRVNÍ REPUBLIKA;844;;0
CZ;none;no alternative;JSI PRO? Jistota Solidarita Investice pro budoucnost;836;;0
CZ;none;no alternative;Konzervativní alternativa;235;;0
EL;EPP;no alternative;Νέα Δημοκρατία;1873137;;8
EL;Left;no alternative;Συνασπισμός Ριζοσπαστικής Αριστεράς;1343595;;6
EL;PES;no alternative;Κίνημα Αλλαγής;436726;;2
EL;INITIATIVE;no alternative;Κομμουνιστικό Κόμμα Ελλάδας;302603;;2
EL;none;no alternative;Χρυσή Αυγή;275734;;2
EL;ECR;no alternative;Ελληνική Λύση;236347;;1
